analyze-counts --verbose=1 --binary=false 'ark:ali-to-pdf exp/tri/final.mdl ark:exp/tri/train.ali ark:- |' exp/mlp/ali_train_pdf.counts 
ali-to-pdf exp/tri/final.mdl ark:exp/tri/train.ali ark:- 
LOG (ali-to-pdf[5.3.57~1-6f9f]:main():ali-to-pdf.cc:68) Converted 4000 alignments to pdf sequences.
LOG (analyze-counts[5.3.57~1-6f9f]:main():analyze-counts.cc:191) Printing...
### The sorted count table,
count	(norm),	id	(symbol):
212	(0.000163348),	562	
212	(0.000163348),	664	
213	(0.000164119),	296	
213	(0.000164119),	379	
213	(0.000164119),	427	
213	(0.000164119),	1002	
213	(0.000164119),	1483	
214	(0.000164889),	1074	
215	(0.00016566),	1207	
215	(0.00016566),	1283	
215	(0.00016566),	1433	
216	(0.00016643),	944	
216	(0.00016643),	1407	
217	(0.000167201),	735	
217	(0.000167201),	1235	
217	(0.000167201),	1464	
217	(0.000167201),	1638	
218	(0.000167971),	661	
218	(0.000167971),	1394	
218	(0.000167971),	1626	
219	(0.000168742),	1292	
220	(0.000169512),	356	
221	(0.000170283),	49	
221	(0.000170283),	797	
221	(0.000170283),	1409	
222	(0.000171053),	311	
222	(0.000171053),	882	
222	(0.000171053),	1258	
223	(0.000171824),	96	
223	(0.000171824),	706	
223	(0.000171824),	897	
223	(0.000171824),	1649	
224	(0.000172594),	768	
224	(0.000172594),	1209	
225	(0.000173365),	718	
225	(0.000173365),	1039	
226	(0.000174135),	1420	
227	(0.000174906),	164	
227	(0.000174906),	994	
228	(0.000175677),	430	
228	(0.000175677),	755	
229	(0.000176447),	301	
229	(0.000176447),	637	
229	(0.000176447),	1473	
229	(0.000176447),	1555	
229	(0.000176447),	1581	
229	(0.000176447),	1608	
229	(0.000176447),	1614	
230	(0.000177218),	1098	
230	(0.000177218),	1236	
231	(0.000177988),	964	
231	(0.000177988),	1228	
231	(0.000177988),	1467	
231	(0.000177988),	1601	
232	(0.000178759),	473	
233	(0.000179529),	198	
233	(0.000179529),	330	
233	(0.000179529),	621	
233	(0.000179529),	752	
233	(0.000179529),	1028	
233	(0.000179529),	1471	
233	(0.000179529),	1517	
233	(0.000179529),	1605	
234	(0.0001803),	302	
234	(0.0001803),	478	
234	(0.0001803),	564	
234	(0.0001803),	852	
234	(0.0001803),	1148	
234	(0.0001803),	1573	
235	(0.00018107),	7	
235	(0.00018107),	1613	
236	(0.000181841),	972	
237	(0.000182611),	593	
237	(0.000182611),	790	
237	(0.000182611),	932	
238	(0.000183382),	59	
238	(0.000183382),	459	
238	(0.000183382),	1060	
239	(0.000184152),	74	
239	(0.000184152),	800	
240	(0.000184923),	1653	
241	(0.000185693),	669	
241	(0.000185693),	891	
241	(0.000185693),	1067	
242	(0.000186464),	1357	
243	(0.000187234),	859	
243	(0.000187234),	1354	
243	(0.000187234),	1372	
243	(0.000187234),	1527	
244	(0.000188005),	250	
244	(0.000188005),	853	
245	(0.000188775),	209	
245	(0.000188775),	1327	
246	(0.000189546),	498	
246	(0.000189546),	879	
246	(0.000189546),	1167	
247	(0.000190316),	23	
247	(0.000190316),	636	
247	(0.000190316),	727	
247	(0.000190316),	931	
248	(0.000191087),	69	
248	(0.000191087),	160	
248	(0.000191087),	966	
248	(0.000191087),	1004	
249	(0.000191857),	144	
249	(0.000191857),	885	
